0,1,3,4,6,7,9,10,12,13,15,16,pred_x,pred_y,pred_z,inference_time_ms
33.38144,-94.92986,-31.561827,67.949844,61.204437,-54.869335,-53.848045,-8.991142,-52.203747,19.124258,12.146383,-94.06647,-28.844849,-75.115425,70,0.6367872150000039
-28.463003,2.5248659,80.47823,89.652214,-44.8271,80.793015,-21.046524,13.987016,-15.863049,-33.522923,61.03403,79.13083,-39.871323,77.518326,70,0.6367872150000039
-88.03997,-13.227165,-49.662334,62.459755,53.099747,5.650627,-27.386574,-5.3685007,93.9976,-52.38754,96.80096,-82.19582,-34.143105,17.49395,70,0.6367872150000039
90.25011,99.304985,-82.832886,-75.337975,-85.579155,-94.26548,63.44833,58.74178,-76.101746,-78.945175,-19.10567,26.739195,-78.95814,-82.735085,70,0.6367872150000039
-17.023457,34.6955,1.0250113,83.45866,93.07447,44.745056,63.21209,50.693024,-8.2353525,-97.43326,52.697403,-56.45594,54.23062,28.75528,70,0.6367872150000039
60.995193,30.083796,-53.606316,69.20304,95.64774,92.19893,-38.157906,-11.666566,53.36832,97.5049,55.88064,-22.677433,57.781677,79.75397,70,0.6367872150000039
-28.39879,78.96368,-90.55212,-89.81417,93.70383,-6.278471,99.783104,89.283714,45.84604,-84.23713,-77.09222,-87.12486,-39.789165,-85.472084,70,0.6367872150000039
99.18299,-80.25931,64.57801,38.06309,93.41283,-91.05113,92.69576,80.99912,-97.0576,8.052404,-99.47403,-29.743382,58.81311,26.137184,70,0.6367872150000039
-19.057783,78.90049,22.984917,13.171746,53.308777,-88.56283,20.173828,17.730928,-7.6068892,-44.72126,1.2452819,24.037876,18.922058,23.179352,70,0.6367872150000039
78.79841,21.259054,-34.25921,-30.738504,-74.36425,-98.57392,22.34166,81.15678,-11.095387,-78.44532,-1.4359046,31.961401,-32.297264,-80.453445,70,0.6367872150000039
-42.643517,11.184282,27.270504,79.82588,-85.65338,18.80593,52.349236,42.606514,-56.3667,-85.37202,-20.822554,26.59481,-31.63974,22.95977,70,0.6367872150000039
75.57099,30.816086,62.583508,-40.26632,18.255398,25.743523,30.869389,-46.15353,-50.862,33.960037,-35.32914,-88.30448,-2.3753586,22.601006,70,0.6367872150000039
10.853503,80.8129,91.04289,-44.957043,62.82642,-77.070755,89.3645,91.46561,-95.30238,-83.850494,15.451149,-47.00204,55.864426,-46.59482,70,0.6367872150000039
-28.12935,2.392063,-45.755947,80.432274,-97.12301,-16.42013,-51.94649,-59.90076,69.38263,90.16264,-79.28233,49.488552,-49.890854,77.28345,70,0.6367872150000039
-52.06816,-28.799753,97.97507,47.46082,25.26027,82.84358,3.6128438,-46.479454,-92.61187,50.925774,-36.701992,62.904587,-39.08825,79.32332,70,0.6367872150000039
-29.834814,-35.241516,-23.248405,-50.636887,-15.059269,80.64181,10.783948,-48.875107,20.240816,32.65341,6.64464,29.881153,-27.699387,-38.75684,70,0.6367872150000039
16.303665,23.235626,57.10566,-31.96408,-5.730415,-35.543087,55.51957,-74.59854,7.99816,81.565346,57.85437,-53.104458,56.032135,-45.071304,70,0.6367872150000039
-75.7328,-60.813293,-35.73954,-45.015675,90.64746,-83.631424,55.158386,-24.634455,52.787056,19.04318,-92.71407,88.78215,-26.908752,-45.207382,70,0.6367872150000039
94.64563,70.618095,-88.36059,-80.51265,93.89384,89.94292,24.946194,27.227295,2.6975925,-40.169827,41.41608,-54.28046,54.43718,31.22168,70,0.6367872150000039
-39.100304,-96.1418,69.8718,-95.47933,-42.938026,12.679083,70.91368,21.746881,-86.17464,-88.02607,9.0247755,31.375385,-31.727585,-81.330345,70,0.6367872150000039
-20.914661,80.726425,-15.663629,-47.819626,-7.2913494,13.170729,-87.78392,47.163197,-40.783413,-94.25112,65.8733,-87.99103,-36.36661,-73.2943,70,0.6367872150000039
-53.306343,45.542824,-94.17085,-89.64483,-98.58186,-77.19872,19.47743,17.519707,68.080505,-53.582077,62.75743,38.4896,-70.192764,-79.32331,70,0.6367872150000039
-39.70124,-67.20991,79.02529,-78.1148,41.235577,31.471378,-45.464954,-28.248068,0.64175385,28.736422,-39.350666,41.208775,-32.100334,17.553116,70,0.6367872150000039
-32.571815,-26.669746,18.523125,-81.596214,-16.48113,75.74826,-61.57775,77.20605,-75.73386,39.7358,50.800816,-61.836742,-35.81462,21.846748,70,0.6367872150000039
97.17507,-60.8287,8.019103,84.23936,-86.17293,-63.062878,-42.668396,-12.33845,62.307545,93.63045,96.32163,90.32044,59.88849,82.39285,70,0.6367872150000039
-81.79785,-24.078693,94.37779,-50.816593,-44.95556,-94.87399,84.3426,-76.474106,-44.20673,-79.76741,-57.68936,85.41812,-31.485863,-81.330345,70,0.6367872150000039
-56.74961,-99.1804,88.61578,93.17408,-77.457535,-82.44902,98.46437,-29.571062,-50.93021,44.10866,49.94308,-54.87496,-28.329239,-77.518326,70,0.6367872150000039
14.789397,1.5040476,65.900154,86.35133,93.128914,-43.176666,28.829025,14.174971,67.54326,-96.611176,-21.798487,-99.18162,53.012924,-75.6422,70,0.6367872150000039
6.589474,14.595492,-10.977757,-77.38197,-82.39684,-45.559742,-56.580025,-98.969925,62.510246,40.894154,-24.39926,-91.4514,-48.185253,-81.72293,70,0.6367872150000039
68.508934,7.0858645,-23.10634,-43.833252,-96.08872,-18.454323,57.299625,-32.15327,-3.158939,-45.456684,-20.335249,28.54439,1.2603073,-40.730263,70,0.6367872150000039
-23.904442,-36.323753,20.470837,1.3745499,-69.70385,97.95014,-50.478546,88.39139,60.990707,72.45902,61.625687,33.359882,-36.027073,78.02019,70,0.6367872150000039
-89.20528,2.2097435,-37.544506,-76.598366,60.695515,42.109943,-25.25272,22.554008,43.657627,79.22725,-79.24103,94.1701,-38.52842,27.248047,70,0.6367872150000039
76.335724,98.50221,-91.425415,-35.115795,4.261981,-31.265099,-97.623,95.53336,-86.49064,-66.57722,59.380283,78.49947,-81.197914,77.47931,70,0.6367872150000039
83.36353,23.439331,57.823822,47.75305,-0.057791714,77.096985,-43.2048,87.67262,-93.11075,-12.621785,-77.45346,-34.051697,-79.61133,29.537277,70,0.6367872150000039
-46.207424,-52.595913,-39.41859,24.360098,17.519472,83.958046,66.33445,-83.20864,-71.184654,95.23606,70.962326,92.28029,-36.47251,81.231094,70,0.6367872150000039
