"Step","lr_test: 1e-05 - train_loss","lr_test: 1e-05 - train_loss__MIN","lr_test: 1e-05 - train_loss__MAX","lr_test: 5e-05 - train_loss","lr_test: 5e-05 - train_loss__MIN","lr_test: 5e-05 - train_loss__MAX","lr_test: 0.0001 - train_loss","lr_test: 0.0001 - train_loss__MIN","lr_test: 0.0001 - train_loss__MAX","lr_test: 0.0005 - train_loss","lr_test: 0.0005 - train_loss__MIN","lr_test: 0.0005 - train_loss__MAX","lr_test: 0.001 - train_loss","lr_test: 0.001 - train_loss__MIN","lr_test: 0.001 - train_loss__MAX"
"10","-11.879234748550608","-11.879234748550608","-11.879234748550608","-11.952204052406021","-11.952204052406021","-11.952204052406021","-11.962107260015946","-11.962107260015946","-11.962107260015946","-11.948478034779995","-11.948478034779995","-11.948478034779995","-11.94395216205452","-11.94395216205452","-11.94395216205452"
"11","-11.891140346285663","-11.891140346285663","-11.891140346285663","-11.955461465859715","-11.955461465859715","-11.955461465859715","-11.972228798685194","-11.972228798685194","-11.972228798685194","-11.96980880785592","-11.96980880785592","-11.96980880785592","-11.95452008066298","-11.95452008066298","-11.95452008066298"
"12","-11.895304728157912","-11.895304728157912","-11.895304728157912","-11.960085373890552","-11.960085373890552","-11.960085373890552","-11.970353549039817","-11.970353549039817","-11.970353549039817","-11.96543484699877","-11.96543484699877","-11.96543484699877","-11.926241198672525","-11.926241198672525","-11.926241198672525"
"13","-11.902050887482076","-11.902050887482076","-11.902050887482076","-11.953362428689305","-11.953362428689305","-11.953362428689305","-11.970116699798197","-11.970116699798197","-11.970116699798197","-11.973766326904297","-11.973766326904297","-11.973766326904297","-11.926707086683829","-11.926707086683829","-11.926707086683829"
"14","-11.908747371238999","-11.908747371238999","-11.908747371238999","-11.948263264909576","-11.948263264909576","-11.948263264909576","-11.965754593474955","-11.965754593474955","-11.965754593474955","-11.965278903140298","-11.965278903140298","-11.965278903140298","-11.931449672843836","-11.931449672843836","-11.931449672843836"
"15","-11.912986320785329","-11.912986320785329","-11.912986320785329","-11.951256124279167","-11.951256124279167","-11.951256124279167","-11.96529901480373","-11.96529901480373","-11.96529901480373","-11.958657844157159","-11.958657844157159","-11.958657844157159","-11.937562664852866","-11.937562664852866","-11.937562664852866"
"16","-11.926692769497256","-11.926692769497256","-11.926692769497256","-11.961411464063428","-11.961411464063428","-11.961411464063428","-11.974856630156312","-11.974856630156312","-11.974856630156312","-11.945248821113683","-11.945248821113683","-11.945248821113683","-11.952958638155007","-11.952958638155007","-11.952958638155007"
"17","-11.927454803563371","-11.927454803563371","-11.927454803563371","-11.963627066793322","-11.963627066793322","-11.963627066793322","-11.965867187403425","-11.965867187403425","-11.965867187403425","-11.962663421147987","-11.962663421147987","-11.962663421147987","-11.967992577371717","-11.967992577371717","-11.967992577371717"
"18","-11.930805290801615","-11.930805290801615","-11.930805290801615","-11.967804437951196","-11.967804437951196","-11.967804437951196","-11.96825449979758","-11.96825449979758","-11.96825449979758","-11.973557737809193","-11.973557737809193","-11.973557737809193","-11.95881236354007","-11.95881236354007","-11.95881236354007"
"19","-11.930395053911813","-11.930395053911813","-11.930395053911813","-11.968987790844109","-11.968987790844109","-11.968987790844109","-11.954894597017311","-11.954894597017311","-11.954894597017311","-11.970402862452254","-11.970402862452254","-11.970402862452254","-11.970850835872602","-11.970850835872602","-11.970850835872602"
