gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
65.83505,-48.765976,0.0,65.504745,53.760357,0.0,80.13892,19.723938,0.0,61.362625,65.0139,0.0,59.60000000000002,25.80000000000001,90
-9.900807,17.006355,0.0,-32.66714,32.489357,0.0,-89.948364,-23.443237,0.0,-97.83166,-99.26453,0.0,-73.1,-7.399999999999991,90
64.18994,-35.482944,0.0,-53.927532,-71.2948,0.0,-75.63823,80.63192,0.0,-31.928122,47.596848,0.0,-32.39999999999999,-31.39999999999999,90
66.93748,59.828278,0.0,-59.673622,-89.957825,0.0,46.354916,-93.71463,0.0,11.758149,11.575461,0.0,42.80000000000001,-87.3,90
0.37008905,-79.92243,0.0,-20.829224,83.27473,0.0,-22.561272,79.6398,0.0,62.053955,-75.34229,0.0,50.400000000000006,93.70000000000002,90
-18.273218,30.74121,0.0,-39.436306,-42.67554,0.0,56.90748,27.798399,0.0,59.795174,-84.31194,0.0,53.80000000000001,-26.5,90
-91.09143,-37.701653,0.0,-41.71204,-88.67884,0.0,-98.46586,-75.451,0.0,15.814892,18.671371,0.0,-83.4,-78.1,90
-21.39787,-38.694363,0.0,23.732906,17.682121,0.0,37.0384,81.945114,0.0,-39.56912,95.10087,0.0,-39.9,30.90000000000001,90
-34.239605,60.194782,0.0,25.115889,-76.82546,0.0,66.59286,-82.94368,0.0,-79.04931,53.878826,0.0,-77.7,-86.0,90
49.00884,85.065704,0.0,-49.99742,21.890747,0.0,-36.73591,-62.064995,0.0,-37.289524,18.452354,0.0,-50.0,-7.299999999999997,90
-76.39372,45.859844,0.0,-97.65309,69.15484,0.0,62.616306,-34.37483,0.0,93.114456,-15.788989,0.0,46.20000000000002,-9.0,90
-98.11002,-66.26408,0.0,-17.647324,23.035088,0.0,-23.393194,16.44994,0.0,-95.75753,0.07407375,0.0,-69.8,-3.5,90
74.16619,19.39338,0.0,70.84053,6.642168,0.0,63.670822,-5.1758265,0.0,-45.936703,-93.42979,0.0,63.400000000000006,19.200000000000003,90
68.693726,-2.7443335,0.0,56.403744,40.900097,0.0,-1.066081,-47.463814,0.0,-53.65544,77.48164,0.0,41.70000000000002,12.900000000000006,90
