gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,result_x,result_y,result_z
-26.767437,6.268194,0.0,88.38404,-87.65782,0.0,-54.4,-81.4,70
55.76794,-35.68927,0.0,59.67247,-78.14471,0.0,60.60000000000002,-57.0,70
98.38277,37.10963,0.0,-87.91547,-87.780594,0.0,98.4,-83.0,70
-45.098457,-69.35188,0.0,31.152685,-42.51035,0.0,-35.599999999999994,-60.699999999999996,70
-25.74187,-45.45983,0.0,76.90104,1.3281635,0.0,75.30000000000001,-49.5,70
68.81594,39.756725,0.0,-19.379618,81.74372,0.0,38.599999999999994,81.80000000000001,70
-45.90068,-86.1564,0.0,67.259514,56.33296,0.0,-24.700000000000003,-79.3,70
65.68547,74.0093,0.0,53.38704,-89.16745,0.0,51.0,-81.7,70
50.147125,-0.7920639,0.0,-50.308556,-97.3741,0.0,-25.89999999999999,-76.3,70
93.84202,-40.38637,0.0,-30.430346,-1.079922,0.0,-9.0,25.900000000000006,70
-69.225815,-99.11092,0.0,0.81456643,9.258446,0.0,-22.0,-70.0,70
10.882342,83.818115,0.0,23.230043,-8.082303,0.0,19.10000000000001,49.900000000000006,70
-35.34397,10.659769,0.0,-50.823124,-99.70589,0.0,-43.199999999999996,-69.7,70
-39.753277,42.098244,0.0,-97.3657,56.039795,0.0,-64.5,50.599999999999994,70
-55.84701,-90.43471,0.0,19.916685,78.70407,0.0,-1.2999999999999972,80.60000000000002,70
63.229935,7.2321563,0.0,-33.366165,84.85732,0.0,56.30000000000001,84.80000000000001,70
-47.024162,94.14755,0.0,-18.593048,31.38194,0.0,-36.599999999999994,31.200000000000017,70
-98.98534,60.857147,0.0,-93.67037,-88.23225,0.0,-97.7,11.900000000000006,70
-3.3467433,-76.90806,0.0,-83.88998,98.2192,0.0,-83.9,-76.9,70
-46.245693,7.6190567,0.0,-48.343826,37.729885,0.0,-44.5,22.700000000000003,70
52.514217,2.3481138,0.0,-32.89316,49.050877,0.0,71.80000000000001,35.70000000000002,70
6.487414,85.44521,0.0,13.39904,-96.730606,0.0,-13.699999999999989,-95.8,70
64.44035,-20.773521,0.0,97.367065,98.291985,0.0,63.30000000000001,76.0,70
-85.756256,20.682579,0.0,63.952393,20.415863,0.0,-81.4,41.20000000000002,70
11.090967,-93.807724,0.0,42.10402,94.96653,0.0,34.900000000000006,100.0,70
-36.672035,76.49511,0.0,-83.81978,-61.881073,0.0,-83.8,90.80000000000001,70
-51.072945,46.780296,0.0,-84.54929,0.54334545,0.0,-94.3,37.0,70
-22.121454,-27.947105,0.0,-5.506428,84.34945,0.0,-75.5,80.20000000000002,70
-75.94869,-47.896275,0.0,-10.991744,-45.71069,0.0,-13.0,-42.8,70
-76.78984,-16.064823,0.0,-42.832813,77.001045,0.0,-47.3,29.400000000000006,70
-88.25705,-18.647621,0.0,92.084045,-15.6261835,0.0,-82.0,-80.3,70
57.19734,-56.575294,0.0,4.231109,-92.384834,0.0,57.20000000000002,-81.4,70
-78.57074,27.760336,0.0,75.89172,-88.801155,0.0,-90.4,-80.8,70
-33.684246,12.154017,0.0,35.821987,21.145338,0.0,-1.5999999999999943,35.80000000000001,70
67.97183,16.945879,0.0,-16.823631,-77.59324,0.0,46.80000000000001,-78.4,70
-23.632679,77.18136,0.0,91.288246,-34.41494,0.0,-7.199999999999989,93.30000000000001,70
-86.595314,58.556866,0.0,-16.202328,-33.81779,0.0,-81.8,2.700000000000003,70
-84.93624,50.43102,0.0,56.42124,-97.67461,0.0,-84.9,-74.5,70
73.71103,-89.000534,0.0,54.926357,92.27512,0.0,68.10000000000002,-86.6,70
-76.52535,-96.845474,0.0,-49.352615,55.192833,0.0,-49.3,-78.8,70
30.725498,87.39803,0.0,-49.43645,-65.47411,0.0,-3.0,86.0,70
-13.9236,-29.626854,0.0,90.49088,39.908638,0.0,-42.8,-20.89999999999999,70
18.330702,-78.89427,0.0,-85.13477,22.253231,0.0,-84.2,-93.3,70
-59.772366,97.869255,0.0,91.971565,76.232185,0.0,86.60000000000002,100.0,70
-98.26461,-29.325603,0.0,-27.132355,-50.590385,0.0,-73.3,-31.5,70
-29.576199,-40.00134,0.0,-2.3765688,-99.05732,0.0,-48.599999999999994,-71.0,70
-26.471989,-6.0114493,0.0,67.908455,-66.41896,0.0,50.900000000000006,-7.0,70
74.85846,-88.34716,0.0,-43.6069,36.87098,0.0,-22.599999999999994,-83.9,70
64.98002,-65.354836,0.0,-46.89113,62.80755,0.0,-40.199999999999996,52.5,70
95.25382,-66.16567,0.0,99.36564,-84.07919,0.0,100.0,-80.7,70
-96.07355,-65.8757,0.0,85.36048,-83.46568,0.0,-80.3,-83.5,70
-23.759857,94.48497,0.0,-11.214251,-95.24542,0.0,-10.099999999999994,-86.7,70
-57.10902,-84.84986,0.0,-90.64873,-4.174272,0.0,-81.8,-84.7,70
54.56177,5.129627,0.0,96.67734,39.56174,0.0,96.4,21.700000000000003,70
28.78265,77.614784,0.0,60.071507,26.166176,0.0,59.5,79.10000000000002,70
-30.721672,-31.013325,0.0,-5.974898,99.89715,0.0,-42.199999999999996,78.10000000000002,70
-31.594545,53.749702,0.0,-91.74537,38.94959,0.0,-74.2,39.400000000000006,70
-42.76094,30.198042,0.0,-25.80443,20.1352,0.0,-34.8,22.200000000000003,70
-52.10812,-32.885525,0.0,-91.75475,26.233574,0.0,-99.1,-1.6999999999999886,70
-28.973284,-53.819168,0.0,86.8135,19.92431,0.0,79.30000000000001,12.0,70
-18.24068,22.789907,0.0,87.61387,75.282196,0.0,-7.3999999999999915,23.10000000000001,70
-86.2604,90.46618,0.0,-65.93507,-75.47297,0.0,-82.8,79.5,70
-76.5055,48.407173,0.0,22.797153,-16.283232,0.0,6.900000000000006,59.400000000000006,70
-15.665791,17.664007,0.0,-99.125305,-59.859455,0.0,-74.9,-28.89999999999999,70
57.83554,-89.28597,0.0,-49.678947,-5.4826374,0.0,27.60000000000001,-83.2,70
-48.83102,-73.21104,0.0,55.39446,-47.746017,0.0,-26.599999999999994,-46.9,70
-44.632324,-75.222176,0.0,95.451164,-87.26947,0.0,-30.5,-87.4,70
-87.39151,-82.048225,0.0,89.14571,-91.68447,0.0,-61.099999999999994,-93.7,70
92.44495,39.120308,0.0,4.2827806,79.40761,0.0,47.70000000000002,79.60000000000002,70
96.02081,-78.041794,0.0,-75.75992,70.17929,0.0,74.20000000000002,-89.3,70
28.056822,8.218056,0.0,73.19234,-92.97559,0.0,17.700000000000003,-80.3,70
-97.06736,-97.84835,0.0,70.43647,24.23515,0.0,47.400000000000006,-74.5,70
-41.90625,-96.22378,0.0,92.60304,77.013176,0.0,94.60000000000002,-77.2,70
44.900543,-80.871216,0.0,75.56758,75.88458,0.0,60.30000000000001,-81.6,70
-24.260208,-49.598568,0.0,17.792536,-10.027592,0.0,21.900000000000006,-30.099999999999994,70
-38.358154,-74.49533,0.0,-70.92843,75.81602,0.0,-54.3,91.4,70
63.216595,83.89355,0.0,66.61625,-15.533554,0.0,54.20000000000002,49.900000000000006,70
47.266365,-98.50439,0.0,79.05566,23.933926,0.0,77.5,1.1000000000000085,70
-38.875706,2.3537009,0.0,-40.74067,46.47188,0.0,-41.199999999999996,24.0,70
-0.57107234,75.010735,0.0,-80.86065,-14.440466,0.0,-83.8,-5.099999999999994,70
80.2507,5.102266,0.0,-87.696785,-13.309988,0.0,-73.6,-9.699999999999989,70
9.377018,77.33557,0.0,-85.207115,-17.506454,0.0,-85.2,78.60000000000002,70
0.3890212,16.18155,0.0,-54.95488,-30.738932,0.0,-9.099999999999994,17.200000000000003,70
-82.26056,11.290367,0.0,32.37559,81.49581,0.0,-82.3,81.5,70
-86.00832,-16.000393,0.0,65.75592,26.480406,0.0,-85.2,29.30000000000001,70
97.77714,-79.73373,0.0,-32.136906,-44.424107,0.0,97.9,-50.9,70
-93.328476,62.05376,0.0,65.2612,-33.15688,0.0,51.400000000000006,-29.39999999999999,70
39.432415,93.827354,0.0,-43.283783,-36.461136,0.0,-37.699999999999996,80.10000000000002,70
99.25015,7.511256,0.0,69.04931,-0.01651914,0.0,77.9,26.10000000000001,70
16.654816,-84.81349,0.0,-17.981525,13.518102,0.0,-9.199999999999989,26.0,70
-37.149,51.746925,0.0,17.578978,31.531015,0.0,-37.199999999999996,25.5,70
69.63054,-31.950436,0.0,-20.036552,32.326927,0.0,26.80000000000001,0.9000000000000057,70
-93.68419,-64.800255,0.0,-91.197716,7.2351284,0.0,-93.1,-28.89999999999999,70
-54.23419,-17.720095,0.0,-34.201797,-52.890488,0.0,-33.2,-35.8,70
69.13677,-80.758194,0.0,-26.504213,-4.790997,0.0,45.80000000000001,-60.3,70
81.92223,95.151306,0.0,2.6507225,20.801933,0.0,32.400000000000006,30.0,70
81.3743,96.547806,0.0,-17.691374,22.916183,0.0,33.80000000000001,29.200000000000017,70
-98.410286,-89.20194,0.0,-51.175766,3.7707224,0.0,-51.099999999999994,-81.8,70
47.579754,-42.050903,0.0,-40.89434,-83.64978,0.0,-39.8,-61.4,70
-87.87769,-17.06786,0.0,51.900806,50.660347,0.0,-81.8,64.10000000000002,70
-37.59975,-4.0929184,0.0,-23.628538,17.0646,0.0,-34.2,8.700000000000003,70
0.07502496,-81.23016,0.0,-37.643566,-28.770313,0.0,-42.199999999999996,-81.2,70
37.700306,31.660625,0.0,-22.470335,-43.240715,0.0,-42.3,0.6000000000000085,70
69.106705,-18.161215,0.0,54.672066,21.928915,0.0,53.0,27.5,70
6.5543623,-80.60624,0.0,-75.012146,55.89402,0.0,-14.399999999999991,-99.1,70
8.359448,-76.544525,0.0,29.262121,95.87391,0.0,44.80000000000001,93.30000000000001,70
-20.49975,-90.303795,0.0,83.35278,-86.92945,0.0,31.30000000000001,-90.2,70
-52.23882,39.67258,0.0,-88.414024,13.487882,0.0,-78.6,21.5,70
-20.22862,-48.35912,0.0,-92.66938,-39.254475,0.0,-73.3,-42.5,70
-48.094265,-53.025906,0.0,64.10887,23.137794,0.0,-18.299999999999997,35.599999999999994,70
51.316395,74.918045,0.0,66.70924,-56.047043,0.0,65.20000000000002,25.700000000000003,70
4.236144,-78.635124,0.0,21.702402,90.547134,0.0,16.60000000000001,72.30000000000001,70
-48.203903,-88.55255,0.0,-72.80522,-90.734474,0.0,-60.3,-91.4,70
-53.21542,78.33664,0.0,-84.892555,-53.569954,0.0,-84.3,89.20000000000002,70
47.419918,-41.199776,0.0,-87.48775,78.40546,0.0,-40.5,84.70000000000002,70
-11.347006,16.417946,0.0,-87.019325,-42.822872,0.0,-83.4,-10.0,70
81.871735,-78.94196,0.0,87.42261,14.80947,0.0,75.5,5.400000000000006,70
-38.643936,-75.5647,0.0,-85.166466,85.50134,0.0,-53.5,85.30000000000001,70
-77.392525,25.762684,0.0,-10.114971,29.419653,0.0,-90.0,23.60000000000001,70
-25.834488,22.592752,0.0,11.407533,34.807594,0.0,-25.5,14.800000000000011,70
0.7538522,-85.09452,0.0,91.2963,37.418945,0.0,33.400000000000006,-85.1,70
29.631983,-42.290066,0.0,-44.024582,2.0430288,0.0,-30.5,-29.200000000000003,70
20.36575,-98.165886,0.0,-0.31718495,77.98896,0.0,33.30000000000001,-94.5,70
-20.465586,-27.158272,0.0,-57.07864,82.027916,0.0,-86.6,81.80000000000001,70
26.26523,7.3687906,0.0,-70.1415,83.46876,0.0,-100.0,60.5,70
63.95621,93.96321,0.0,96.67082,21.093542,0.0,100.0,78.60000000000002,70
58.74325,-85.5256,0.0,96.942635,-55.437126,0.0,97.0,-85.8,70
-71.82532,-88.274155,0.0,-84.218155,-7.833917,0.0,-84.3,-81.6,70
-96.198654,77.22434,0.0,0.46821722,-36.181717,0.0,-74.9,-35.8,70
-99.47297,-62.71156,0.0,-92.654106,93.57538,0.0,-95.7,50.20000000000002,70
36.8168,-91.02657,0.0,9.684821,-43.33989,0.0,25.80000000000001,-96.7,70
-95.70501,68.74429,0.0,-53.672115,30.077938,0.0,-94.2,32.400000000000006,70
-33.979576,-56.679047,0.0,27.354504,85.29107,0.0,-18.799999999999997,85.10000000000002,70
-40.696095,-54.505863,0.0,24.342146,-15.890355,0.0,12.700000000000003,-29.5,70
