gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
-95.91829,-74.374344,0.0,-46.555717,58.980034,0.0,-81.41074,27.057886,0.0,-37.985687,43.00512,0.0,-57.3,36.099999999999994,50
-17.68124,-65.151085,0.0,-10.164696,98.7982,0.0,-42.65075,-53.21618,0.0,-44.52735,-17.990965,0.0,-84.7,-60.9,50
58.891796,-20.107973,0.0,-58.25587,-96.220634,0.0,33.647717,-75.66138,0.0,93.38137,39.86223,0.0,73.4,-67.8,50
-33.573128,23.163855,0.0,-60.07838,-88.839455,0.0,-64.322655,21.590387,0.0,20.764374,-78.762474,0.0,-41.4,-66.4,50
-48.72297,40.294624,0.0,43.94685,-53.508945,0.0,11.003971,59.30841,0.0,72.582436,-27.882648,0.0,55.60000000000002,-35.599999999999994,50
5.815363,22.847534,0.0,-8.669651,12.031996,0.0,98.98964,-50.17173,0.0,84.18889,-46.523266,0.0,69.5,-30.200000000000003,50
53.060974,77.77188,0.0,-35.94613,-46.680332,0.0,-7.259721,-19.111109,0.0,67.21294,24.42038,0.0,37.400000000000006,40.0,50
-55.30228,-62.91024,0.0,87.67811,-2.774793,0.0,-60.32086,72.18297,0.0,45.87219,15.817308,0.0,60.80000000000001,45.0,50
82.762375,-95.72982,0.0,77.59992,-98.980865,0.0,-19.29236,-10.388458,0.0,-13.525337,69.570885,0.0,73.80000000000001,-79.0,50
65.4985,79.29054,0.0,59.988438,9.135199,0.0,31.035496,-68.91161,0.0,-11.518306,-0.040632486,0.0,48.0,17.30000000000001,50
-19.704628,-70.329025,0.0,-1.6658247,-15.163528,0.0,-2.9696703,71.886024,0.0,-71.3349,90.27413,0.0,-3.799999999999997,46.20000000000002,50
67.22787,93.13043,0.0,96.583595,-29.876787,0.0,95.98074,91.76263,0.0,32.27645,87.65181,0.0,70.30000000000001,84.0,50
32.63496,60.74462,0.0,53.645145,-61.45834,0.0,92.91271,67.45195,0.0,51.479755,11.570156,0.0,31.30000000000001,48.80000000000001,50
-31.148737,16.92177,0.0,95.43675,-51.08478,0.0,57.594036,-26.303244,0.0,-9.869713,-22.201056,0.0,17.30000000000001,-27.39999999999999,50
64.495346,-23.295986,0.0,-66.786934,-37.19299,0.0,-98.741844,95.26265,0.0,54.81329,-99.71992,0.0,-85.0,-44.8,50
-35.934402,-15.714014,0.0,70.935974,44.61236,0.0,-91.74171,-4.27227,0.0,-78.243164,-11.426628,0.0,-79.4,19.0,50
-60.09151,36.045647,0.0,-85.56032,-93.8695,0.0,-48.46342,-7.4754057,0.0,73.65451,45.43382,0.0,-40.8,60.400000000000006,50
-20.941502,96.632454,0.0,-51.037655,-24.725872,0.0,-39.78256,-78.075005,0.0,-2.0211697,-24.261868,0.0,-60.0,-45.599999999999994,50
