tag,device,engine,rail,seconds,sample_hz,warmup_s,avg_w,std_w,p95_w,n,trace_csv
20260213_163649,nano,idle,POM_5V_IN,600,1.0,5.0,2.381850420168067,0.0583525605552393,2.412,595,src/edge_device/results/power_jtop/20260213_163649.nano/idle/20260213_163649.nano.idle.jtop.trace.csv
20260213_163649,nano,torch,POM_5V_IN,0,1.0,5.0,3.360621761658031,0.6462150037170454,4.635,193,src/edge_device/results/power_jtop/20260213_163649.nano/torch/20260213_163649.nano.torch.jtop.trace.csv
20260213_163649,nano,tflite_fp32,POM_5V_IN,0,1.0,5.0,3.5185724637681157,0.7057934468926008,4.721,138,src/edge_device/results/power_jtop/20260213_163649.nano/tflite_fp32/20260213_163649.nano.tflite_fp32.jtop.trace.csv
20260213_163649,nano,tflite_fp16,POM_5V_IN,0,1.0,5.0,4.008808823529412,0.5254778569620603,4.84,68,src/edge_device/results/power_jtop/20260213_163649.nano/tflite_fp16/20260213_163649.nano.tflite_fp16.jtop.trace.csv
20260213_163649,nano,tflite_int8,POM_5V_IN,0,1.0,5.0,3.6833648648648647,0.6242009286328104,4.84,74,src/edge_device/results/power_jtop/20260213_163649.nano/tflite_int8/20260213_163649.nano.tflite_int8.jtop.trace.csv
20260213_163649,nano,tensorrt,POM_5V_IN,0,1.0,5.0,3.7308064516129034,0.8813396481733066,4.776,31,src/edge_device/results/power_jtop/20260213_163649.nano/tensorrt/20260213_163649.nano.tensorrt.jtop.trace.csv
